file,artist,title,year,genre
Mr Scruff/Mr Scruff - Keep It Solid Steel/26 Searching For Mr. Manuva.mp3,Border Crossing,Searching For Mr. Manuva,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/11 Wrong Girls To Play With (Dub).mp3,Papa Austin With The Great Pes,Wrong Girls To Play With (Dub),2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/20 Funky Axe.mp3,Spaghetti Head,Funky Axe,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/14 Check The Vibe.mp3,Dred Scott,Check The Vibe,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/29 Cpu Song.mp3,Little Miss Trinitron,Cpu Song,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/01_Mr Scruff - Intro _ Introduction.mp3,Mr. Scruff,Intro,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/15 Funky For You.mp3,Mark Rae Vs Deadbeats,Funky For You,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/13 Recognition.mp3,Demon Boyz,Recognition,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/06 Time Machine.mp3,Chocolate Milk,Time Machine,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/27 Pins & Needles.mp3,Tipper,Pins & Needles,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/23_Show & Ag - Bounce Ta This.mp3,Show And Ag,Bounce Ta This,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/18 Impressions (Part 3).mp3,The Peddlers,Impressions (Part 3),2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/19_Luis Enriquez - Carrefour.mp3,Luis Enriquez,Carrefour,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/03 Waterhouse Rock (G-Corp 12_ Mix).mp3,Big Youth,"Waterhouse Rock (G-Corp 12"" Mi",2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/09 My Kung Fu.mp3,UTD,My Kung Fu,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/25 Deep Waters.mp3,Microdisiacs,Deep Waters,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/24 Check It.mp3,Lords Of The Underground,Check It,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/17 Disney On Acid _ Learn To Be Stro.mp3,2day & 2moro / Learn To Be Str,Disney On Acid / Learn To Be S,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/02 Ing.mp3,Mungo's Hi-Fi Feat. Brother Cu,Ing,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/31 You've Got To Have Freedom.mp3,Pharoah Sanders,You've Got To Have Freedom,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/08 Back In The Day.mp3,Erykah Badu,Back In The Day,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/22 Sweetie Pie.mp3,Stone Alliance,Sweetie Pie,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/30 Fairplay.mp3,Soul Ll Soul,Fairplay,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/05 Going Way.mp3,Just Ice,Going Way,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/12 Tell Me How.mp3,Sarah Winton,Tell Me How,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/28 Detchibe.mp3,Prefuse 73,Detchibe,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/07 Flashback.mp3,Arsonists,Flashback,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/04 Black Milk.mp3,Eighth From The Egg,Black Milk,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/21 Highland Park.mp3,Connie Price & The Keystones,Highland Park,2004,""
Mr Scruff/Mr Scruff - Keep It Solid Steel/16 Dopest Verse.mp3,Madkap,Dopest Verse,2004,""
Mr Scruff/Mr Scruff - Keep It Unreal/12 Blackfoot Roll.mp3,Mr. Scruff,Blackfoot Roll,1999,""
